 -----------------------------------------------------------------------

                        WAMIT  Version 7.41(x64)       

     Copyright (c) 1999-2022 WAMIT Incorporated                        
     Copyright (c) 1998 Massachusetts Institute of Technology          

 -----------------------------------------------------------------------

     The WAMIT software performs computations of wave interactions with
     floating or submerged vessels.  WAMIT is a registered trademark of
     WAMIT Incorporated.  This copy of the WAMIT software is licensed to 

            College of Engineering                          
            Oregon State University                         
            Corvallis, Oregon USA                           
             
     For educational use.                  Release date: 31 Oct 2022

 -----------------------------------------------------------------------


 Low-order panel method  (ILOWHI=0)                                     
                                                                        
 Input from Geometric Data File:         spar_D1_14m.gdf                
 Rhino->WAMIT file export (mesh)                                        
                                                                        
 Input from Potential Control File:      spar.pot                       
 spar.pot -- file type .gdf, ILOWHI=0, IRR=1                            
                                                                        
                                                                        
 POTEN run date and starting time:        06-Jun-2025  --  09:49:27     
   Period       Time           RAD      DIFF  (max iterations)          
   -1.0000    09:49:29          -1                                      
    0.0000    09:49:30          -1                                      
   62.8319    09:49:30          -1      -1                              
   31.4159    09:49:31          -1      -1                              
   20.9440    09:49:32          -1      -1                              
   15.7080    09:49:33          -1      -1                              
   12.5664    09:49:33          -1      -1                              
   10.4720    09:49:34          -1      -1                              
    8.9760    09:49:35          -1      -1                              
    7.8540    09:49:36          -1      -1                              
    6.9813    09:49:36          -1      -1                              
    6.2832    09:49:37          -1      -1                              
    5.7120    09:49:38          -1      -1                              
    5.2360    09:49:39          -1      -1                              
    4.8332    09:49:40          -1      -1                              
    4.4880    09:49:40          -1      -1                              
    4.1888    09:49:41          -1      -1                              
    3.9270    09:49:42          -1      -1                              
    3.6960    09:49:43          -1      -1                              
    3.4907    09:49:43          -1      -1                              
    3.3069    09:49:44          -1      -1                              
    3.1416    09:49:45          -1      -1                              
    2.9920    09:49:46          -1      -1                              
    2.8560    09:49:46          -1      -1                              
    2.7318    09:49:47          -1      -1                              
    2.6180    09:49:48          -1      -1                              
    2.5133    09:49:49          -1      -1                              
    2.4166    09:49:50          -1      -1                              
    2.3271    09:49:50          -1      -1                              
    2.2440    09:49:51          -1      -1                              
    2.1666    09:49:52          -1      -1                              
    2.0944    09:49:53          -1      -1                              
    2.0268    09:49:53          -1      -1                              
    1.9635    09:49:54          -1      -1                              
    1.9040    09:49:55          -1      -1                              
    1.8480    09:49:56          -1      -1                              
    1.7952    09:49:57          -1      -1                              
    1.7453    09:49:57          -1      -1                              
    1.6982    09:49:58          -1      -1                              
    1.6535    09:49:59          -1      -1                              
    1.6111    09:50:00          -1      -1                              
    1.5708    09:50:00          -1      -1                              
    1.5325    09:50:01          -1      -1                              
    1.4960    09:50:02          -1      -1                              
    1.4612    09:50:03          -1      -1                              
    1.4280    09:50:03          -1      -1                              
    1.3963    09:50:04          -1      -1                              
    1.3659    09:50:05          -1      -1                              
    1.3368    09:50:06          -1      -1                              
    1.3090    09:50:07          -1      -1                              
    1.2823    09:50:07          -1      -1                              
    1.2566    09:50:08          -1      -1                              
    1.2320    09:50:09          -1      -1                              
    1.2083    09:50:10          -1      -1                              
    1.1855    09:50:10          -1      -1                              
    1.1636    09:50:11          -1      -1                              
    1.1424    09:50:12          -1      -1                              
    1.1220    09:50:13          -1      -1                              
    1.1023    09:50:13          -1      -1                              
    1.0833    09:50:14          -1      -1                              
    1.0649    09:50:15          -1      -1                              
    1.0472    09:50:16          -1      -1                              
    1.0300    09:50:16          -1      -1                              
    1.0134    09:50:17          -1      -1                              
    0.9973    09:50:18          -1      -1                              
